customer_id,loan_id,loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,application_date,approval_date,disbursement_date,due_date,default_status
CUST-00004912,LN00004170,Car Loan,16795,0.051851709,15,Self-employed,Medium,833,Male,Single,Master,05-04-2018,23-04-2018,24-04-2018,14-08-2018,FALSE
CUST-00004194,LN00002413,Personal Loan,1860,0.089295672,56,Full-time,Medium,776,Female,Married,Bachelor,30-12-2022,31-12-2022,12-01-2023,05-04-2023,FALSE
CUST-00003610,LN00000024,Personal Loan,77820,0.070469564,51,Full-time,Low,697,Male,Divorced,High School,15-11-2019,18-11-2019,27-11-2019,24-02-2020,FALSE
CUST-00001895,LN00001742,Car Loan,55886,0.062155,30,Full-time,Low,795,Female,Married,PhD,25-08-2021,08-09-2021,11-09-2021,25-02-2022,FALSE
CUST-00003782,LN00003161,Home Loan,7265,0.070634819,48,Part-time,Low,519,Female,Married,High School,02-09-2020,07-09-2020,11-09-2020,29-12-2020,FALSE
CUST-00002287,LN00003606,Car Loan,83386,0.07723212,13,Self-employed,Medium,472,Male,Divorced,PhD,17-03-2021,17-03-2021,29-03-2021,25-06-2021,FALSE
CUST-00004571,LN00003372,Car Loan,38194,0.07092883,26,Part-time,High,689,Male,Married,PhD,04-09-2021,21-09-2021,04-10-2021,18-12-2021,FALSE
CUST-00002572,LN00002092,Car Loan,88498,0.046916509,13,Part-time,Low,801,Female,Divorced,High School,17-04-2021,24-04-2021,07-05-2021,24-10-2021,FALSE
CUST-00001416,LN00001061,Home Loan,45131,0.093455993,22,Self-employed,Low,559,Male,Divorced,Master,16-10-2019,28-10-2019,29-10-2019,28-02-2020,FALSE
CUST-00000009,LN00003352,Education Loan,61263,0.099123126,56,Self-employed,Low,430,Male,Divorced,PhD,07-08-2021,25-08-2021,01-09-2021,09-02-2022,FALSE
CUST-00001863,LN00000461,Personal Loan,17023,0.08977283,34,Full-time,High,412,Female,Divorced,Bachelor,04-07-2022,19-07-2022,23-07-2022,04-01-2023,FALSE
CUST-00001234,LN00002118,Personal Loan,42090,0.062934715,21,Full-time,Low,319,Male,Married,PhD,12-05-2019,12-05-2019,19-05-2019,30-09-2019,FALSE
CUST-00003126,LN00001607,Education Loan,68221,0.076977627,14,Self-employed,Low,514,Male,Married,PhD,17-08-2021,18-08-2021,26-08-2021,09-11-2021,FALSE
CUST-00004712,LN00000072,Car Loan,65820,0.07990218,16,Full-time,Medium,609,Female,Divorced,Master,30-03-2021,17-04-2021,01-05-2021,13-10-2021,FALSE
CUST-00002458,LN00004924,Car Loan,1769,0.088981916,14,Full-time,Medium,550,Female,Divorced,PhD,02-03-2018,15-03-2018,27-03-2018,21-05-2018,FALSE
CUST-00000010,LN00004273,Personal Loan,60735,0.090025107,49,Self-employed,Medium,787,Female,Divorced,High School,10-05-2020,24-05-2020,03-06-2020,03-07-2020,FALSE
CUST-00003005,LN00000707,Car Loan,63955,0.068987393,24,Part-time,High,681,Male,Divorced,Master,13-03-2018,14-03-2018,22-03-2018,10-08-2018,TRUE
CUST-00004648,LN00001929,Education Loan,65925,0.081229933,53,Self-employed,Medium,708,Female,Single,PhD,31-12-2021,12-01-2022,15-01-2022,14-05-2022,TRUE
CUST-00004976,LN00004980,Personal Loan,68969,0.086859206,30,Self-employed,Low,570,Male,Married,High School,27-04-2019,16-05-2019,25-05-2019,01-08-2019,TRUE
CUST-00000268,LN00002799,Home Loan,6311,0.101837335,51,Part-time,Low,706,Male,Married,High School,25-04-2018,23-05-2018,24-05-2018,06-11-2018,TRUE
CUST-00003862,LN00001178,Car Loan,84104,0.090567598,46,Full-time,High,493,Male,Divorced,PhD,14-05-2021,02-06-2021,15-06-2021,10-08-2021,FALSE
CUST-00002715,LN00000154,Education Loan,54707,0.09183585,35,Part-time,High,740,Male,Single,Bachelor,19-09-2021,29-09-2021,09-10-2021,04-04-2022,FALSE
CUST-00004547,LN00000030,Personal Loan,86305,0.081257399,35,Part-time,Low,612,Female,Single,Bachelor,22-08-2021,31-08-2021,01-09-2021,16-10-2021,FALSE
CUST-00002642,LN00003312,Personal Loan,29693,0.101156887,28,Self-employed,High,378,Male,Single,PhD,29-06-2020,30-06-2020,11-07-2020,15-10-2020,FALSE
CUST-00003807,LN00003827,Home Loan,72932,0.086146442,51,Full-time,Low,479,Male,Divorced,PhD,08-07-2019,05-08-2019,09-08-2019,29-09-2019,FALSE
CUST-00001392,LN00004787,Car Loan,94016,0.067083681,21,Full-time,Medium,313,Male,Single,High School,05-04-2022,21-04-2022,30-04-2022,10-08-2022,FALSE
CUST-00001083,LN00001875,Home Loan,26658,0.10105055,13,Part-time,Low,545,Female,Divorced,PhD,16-06-2022,18-06-2022,21-06-2022,17-11-2022,FALSE
CUST-00000294,LN00000237,Education Loan,85478,0.090468549,55,Self-employed,High,313,Female,Single,PhD,23-05-2022,21-06-2022,26-06-2022,08-12-2022,TRUE
CUST-00004080,LN00002186,Personal Loan,19431,0.07335434,34,Part-time,Medium,398,Female,Divorced,High School,04-03-2021,07-03-2021,15-03-2021,26-08-2021,FALSE
CUST-00002836,LN00004726,Personal Loan,3747,0.072807605,17,Full-time,Low,332,Male,Divorced,PhD,21-05-2022,16-06-2022,22-06-2022,05-10-2022,TRUE
CUST-00004965,LN00000618,Home Loan,60150,0.084448633,13,Full-time,High,735,Male,Married,PhD,20-03-2021,10-04-2021,21-04-2021,21-05-2021,FALSE
CUST-00004206,LN00001572,Home Loan,66725,0.086947772,32,Self-employed,High,556,Female,Divorced,PhD,02-07-2019,06-07-2019,19-07-2019,04-01-2020,FALSE
CUST-00002155,LN00002438,Home Loan,85654,0.082959384,46,Self-employed,Medium,333,Female,Single,High School,20-05-2018,18-06-2018,28-06-2018,10-08-2018,FALSE
CUST-00002345,LN00004456,Car Loan,36773,0.08466963,40,Part-time,Low,318,Male,Married,PhD,11-02-2019,12-02-2019,15-02-2019,10-08-2019,TRUE
CUST-00003924,LN00000582,Personal Loan,68435,0.105499361,18,Self-employed,Low,559,Female,Single,Bachelor,25-10-2022,28-10-2022,03-11-2022,21-12-2022,FALSE
CUST-00001855,LN00002255,Car Loan,57886,0.096073147,40,Part-time,High,715,Male,Divorced,PhD,05-05-2019,16-05-2019,17-05-2019,31-08-2019,FALSE
CUST-00003869,LN00000601,Education Loan,67803,0.082859534,48,Self-employed,Medium,436,Female,Married,Bachelor,15-06-2020,20-06-2020,24-06-2020,08-11-2020,TRUE
CUST-00003791,LN00000979,Car Loan,32551,0.094119659,34,Part-time,Low,658,Male,Divorced,PhD,24-07-2018,20-08-2018,31-08-2018,12-12-2018,TRUE
CUST-00003033,LN00000515,Home Loan,12394,0.064512141,44,Full-time,Medium,415,Male,Divorced,High School,22-10-2018,10-11-2018,20-11-2018,09-04-2019,FALSE
CUST-00000845,LN00000810,Education Loan,70092,0.085968906,19,Full-time,High,703,Male,Single,Bachelor,10-05-2020,05-06-2020,13-06-2020,14-11-2020,FALSE
CUST-00001708,LN00002486,Education Loan,4890,0.107139595,23,Full-time,Low,501,Female,Single,PhD,05-08-2019,31-08-2019,10-09-2019,10-01-2020,FALSE
CUST-00002008,LN00001447,Car Loan,42606,0.076729312,57,Full-time,High,675,Female,Single,PhD,02-11-2019,01-12-2019,14-12-2019,03-06-2020,FALSE
CUST-00001274,LN00000469,Car Loan,97276,0.067285491,59,Full-time,Low,549,Male,Married,PhD,23-06-2020,07-07-2020,15-07-2020,15-10-2020,FALSE
CUST-00004435,LN00000630,Home Loan,81038,0.070218667,21,Full-time,High,745,Female,Single,PhD,22-04-2021,28-04-2021,01-05-2021,22-06-2021,FALSE
CUST-00002105,LN00003383,Home Loan,88313,0.063655504,26,Self-employed,Low,577,Male,Divorced,High School,18-01-2018,15-02-2018,22-02-2018,02-04-2018,FALSE
CUST-00002968,LN00000114,Education Loan,11627,0.068228571,35,Self-employed,Medium,411,Female,Married,Master,07-11-2021,12-11-2021,16-11-2021,06-05-2022,FALSE
CUST-00004243,LN00001226,Home Loan,9792,0.074442379,37,Self-employed,Low,772,Female,Single,Bachelor,14-05-2022,04-06-2022,06-06-2022,09-10-2022,FALSE
CUST-00004842,LN00004343,Personal Loan,74969,0.058916495,58,Part-time,Low,691,Male,Single,PhD,06-01-2020,31-01-2020,12-02-2020,15-04-2020,TRUE
CUST-00001213,LN00001617,Personal Loan,44001,0.080234275,53,Self-employed,High,442,Female,Single,High School,13-09-2019,12-10-2019,17-10-2019,18-02-2020,TRUE
CUST-00002296,LN00003318,Education Loan,77552,0.093534158,50,Self-employed,Low,331,Female,Divorced,Master,05-10-2019,18-10-2019,21-10-2019,28-12-2019,FALSE
CUST-00002198,LN00004641,Car Loan,24897,0.066383657,14,Part-time,Low,480,Male,Single,High School,26-06-2019,13-07-2019,25-07-2019,11-11-2019,FALSE
CUST-00004810,LN00002671,Car Loan,69148,0.102789259,13,Part-time,Low,815,Male,Divorced,PhD,12-03-2022,07-04-2022,19-04-2022,15-10-2022,TRUE
CUST-00003285,LN00004814,Personal Loan,24483,0.087661881,17,Full-time,High,568,Male,Married,Master,30-04-2021,28-05-2021,30-05-2021,06-10-2021,FALSE
CUST-00002265,LN00004874,Car Loan,49555,0.095458709,32,Self-employed,Low,535,Male,Single,Bachelor,17-07-2018,23-07-2018,26-07-2018,16-09-2018,FALSE
CUST-00001611,LN00003069,Home Loan,18159,0.070132482,20,Self-employed,Medium,576,Female,Divorced,Bachelor,19-06-2021,13-07-2021,25-07-2021,17-09-2021,FALSE
CUST-00001419,LN00002538,Personal Loan,81077,0.092817878,21,Part-time,Medium,574,Female,Single,High School,01-04-2018,06-04-2018,06-04-2018,16-09-2018,FALSE
CUST-00001787,LN00003175,Education Loan,36920,0.063620991,47,Full-time,High,385,Male,Single,Bachelor,22-10-2020,14-11-2020,23-11-2020,22-03-2021,TRUE
CUST-00004400,LN00002638,Car Loan,93067,0.093353713,14,Self-employed,Low,362,Female,Married,Bachelor,27-02-2020,03-03-2020,10-03-2020,14-04-2020,TRUE
CUST-00003483,LN00002223,Education Loan,68121,0.08257759,52,Part-time,High,703,Male,Married,Master,03-09-2020,08-09-2020,16-09-2020,03-11-2020,FALSE
CUST-00001878,LN00000052,Education Loan,70479,0.088298768,35,Part-time,Low,491,Male,Divorced,Bachelor,01-09-2019,20-09-2019,25-09-2019,12-11-2019,TRUE
CUST-00002908,LN00002345,Car Loan,90475,0.062366081,33,Self-employed,High,592,Male,Divorced,Master,10-04-2019,01-05-2019,05-05-2019,21-09-2019,FALSE
CUST-00000380,LN00002223,Car Loan,20457,0.066573952,25,Part-time,Low,330,Female,Divorced,Master,01-08-2021,10-08-2021,21-08-2021,08-01-2022,FALSE
CUST-00003301,LN00004696,Personal Loan,67557,0.088958423,53,Part-time,Low,629,Female,Married,Master,16-02-2020,19-02-2020,27-02-2020,30-06-2020,FALSE
CUST-00000694,LN00004267,Personal Loan,78189,0.06577478,56,Self-employed,High,406,Female,Divorced,Bachelor,24-10-2020,02-11-2020,05-11-2020,01-03-2021,FALSE
CUST-00003577,LN00003109,Education Loan,79953,0.086948094,55,Full-time,High,575,Male,Married,High School,15-06-2021,06-07-2021,19-07-2021,04-01-2022,FALSE
CUST-00004146,LN00001659,Education Loan,53995,0.059492933,38,Self-employed,High,381,Male,Married,High School,06-07-2019,06-07-2019,06-07-2019,17-08-2019,FALSE
CUST-00001448,LN00003558,Personal Loan,41757,0.092722613,44,Full-time,Low,363,Female,Single,Bachelor,02-01-2022,24-01-2022,04-02-2022,30-05-2022,FALSE
